Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202409192200,Chek Lap Kok,30.0
202409192200,Cheung Chau,27.9
202409192200,Clear Water Bay,27.5
202409192200,Happy Valley,29.5
202409192200,HK Observatory,29.7
202409192200,HK Park,28.9
202409192200,Kai Tak Runway Park,29.2
202409192200,Kau Sai Chau,27.4
202409192200,King's Park,28.7
202409192200,Kowloon City,28.8
202409192200,Kwun Tong,28.6
202409192200,Lau Fau Shan,28.3
202409192200,Ngong Ping,24.2
202409192200,Pak Tam Chung,26.1
202409192200,Peng Chau,28.6
202409192200,Sai Kung,28.9
202409192200,Sha Tin,29.3
202409192200,Sham Shui Po,29.4
202409192200,Shau Kei Wan,28.5
202409192200,Shek Kong,28.9
202409192200,Sheung Shui,29.6
202409192200,Stanley,28.3
202409192200,Ta Kwu Ling,28.2
202409192200,Tai Lung,28.4
202409192200,Tai Mei Tuk,28.0
202409192200,Tai Mo Shan,22.0
202409192200,Tai Po,29.0
202409192200,Tate's Cairn,24.1
202409192200,The Peak,25.7
202409192200,Tseung Kwan O,27.4
202409192200,Tsing Yi,29.7
202409192200,Tsuen Wan Ho Koon,27.4
202409192200,Tsuen Wan Shing Mun Valley,28.6
202409192200,Tuen Mun,29.1
202409192200,Waglan Island,28.4
202409192200,Wetland Park,28.7
202409192200,Wong Chuk Hang,29.1
202409192200,Wong Tai Sin,29.6
202409192200,Yuen Long Park,29.8
